Order ID,Date,Status,Fulfilment,Sales Channel,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code
406-9419250-2170716,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,L,Shipped,1,INR,474,Una,Gujarat,362560
402-9115190-7596329,27-04-2022,Cancelled,Amazon,Amazon.in,T-shirt,XL,Unshipped,1,INR,635,NEW DELHI,DELHI,110064
408-3841690-9379534,27-04-2022,Cancelled,Amazon,Amazon.in,T-shirt,M,Cancelled,0,,,MUMBAI,MAHARASHTRA,400059
402-5032060-8208358,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,XXL,Shipped,1,INR,499,JAIPUR,RAJASTHAN,302027
406-4433986-3527542,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XS,Shipped,1,INR,899,BENGALURU,KARNATAKA,560029
406-4433986-3527542,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XS,Shipped,1,INR,916,BENGALURU,KARNATAKA,560029
406-3868096-1347563,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XS,Shipped,1,INR,969,BENGALURU,KARNATAKA,560029
406-1013299-4165113,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,XS,Shipped,1,INR,1186,BENGALURU,KARNATAKA,560029
406-1013299-4165113,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,XS,Shipped,1,INR,692,BENGALURU,KARNATAKA,560029
407-5936770-0231530,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,L,Shipped,1,INR,517,Ghaziabad,UTTAR PRADESH,201003
404-9285674-8349165,27-04-2022,Delivered,Merchant,Amazon.in,Blazzer,S,Shipped,1,INR,744,Nizamabad,TELANGANA,503202
403-5711653-9947501,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,XL,Shipped,1,INR,442,NAVI MUMBAI,MAHARASHTRA,400706
407-6327393-9790721,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XL,Shipped,1,INR,635,Meenangadi,KERALA,673591
406-5919564-7339529,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,L,Shipped,1,INR,342,HYDERABAD,TELANGANA,500008
406-5919564-7339529,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,L,Shipped,1,INR,352,HYDERABAD,TELANGANA,500008
171-0394078-7760301,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,3XL,Shipped,1,INR,1099,Gurugram,HARYANA,122018
402-8461361-0682763,27-04-2022,Shipped,Amazon,Amazon.in,Trousers,XS,Shipped,1,INR,487,HYDERABAD,TELANGANA,500089
171-9276355-8501149,27-04-2022,Shipped,Amazon,Amazon.in,Perfume,Free,Shipped,1,INR,569,SRINAGAR,JAMMU & KASHMIR,190020
402-4509607-4677112,27-04-2022,Cancelled,Merchant,Amazon.in,Shirt,M,On the Way,0,INR,380,MADHUBANI,BIHAR,847223
171-4345519-3793169,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,M,Shipped,1,INR,612,Okha,Gujarat,361350
408-0391626-7002737,27-04-2022,Returned,Merchant,Amazon.in,Shirt,3XL,Shipped,1,INR,0,THANE,MAHARASHTRA,400607
403-4971217-7414724,27-04-2022,Cancelled,Merchant,Amazon.in,Shirt,L,On the Way,0,INR,492.38,SALEM,TAMIL NADU,636030
406-1229485-5046751,27-04-2022,Returned,Merchant,Amazon.in,T-shirt,XL,Shipped,1,INR,636,CHENNAI,TAMIL NADU,600100
407-9622126-8809926,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,XXL,Shipped,1,INR,442,KACHCHH,Gujarat,370421
404-2339782-4303531,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,3XL,Shipped,1,INR,487,HYDERABAD,TELANGANA,500072
406-5994003-6451556,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,L,Shipped,1,INR,486,Jammu,JAMMU & KASHMIR,180011
407-3487183-6317907,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,761,PUNE,MAHARASHTRA,411001
405-7734277-9161922,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,788,HUBBALLI,KARNATAKA,580032
